category, average_price
Food & Beverages,3252061.0
Home & Living,33826.258
Jewellery & Accessories,46.86304
Watches,27.079565
Computers & Peripherals,512967.5
Miscellaneous ,348.63318
Tickets & Vouchers,70.689896
Design & Crafts,347839.75
Games & Hobbies,461503.78
Home Appliances,158.80199
Bags & Luggage,95.64979
Mobile & Gadgets,25.571247
Men's Shoes,60.641876
Women's Apparel,94.58884
Toys,\N
Sports & Outdoors,25.327541
Health & Beauty,25.260225
Pet Accessories,12.949995
Women's Shoes,39.354267
Men's Wear,28.933588
#N/A,15.263637
